id,gender,age,visual_vividness,view_duration,lights,computer,emotion,hallucination_categorical,hallucination_description,emerge_time,hallucination_frequency,hallucination_intensity,hallucination_duration,consciousness_change,consciousness_description,hallucination_location,percent_missing,auditory_strength,gustatory_strength,haptic_strength,interoceptive_strength,olfactory_strength,visual_strength,foot_strength,hand_strength,head_strength,mouth_strength,torso_strength,perceptual_strength,action_strength,sensorimotor_strength,visual_vividness_z,description_length,visual_vividness_cat,visual_vividness_cat_reordered,visual_vividness_cat_reordered_codes,visual_vividness_cat_codes,visual_vividness_bicat
12,Female,67,8,10min.,Yes,Computer,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex environments (e.g., cityscapes, forests)","['pusating', 'light', 'began', 'red', 'black', 'morphed', 'red', 'green', 'later', 'red', 'color', 'dominiated', 'changed', 'shade', 'orangy', 'deeper', 'red', 'glittery', 'gold', 'spot', 'image', 'city', 'skyline', 'gold', 'cube', 'gold', 'dot']",5-7 minutes,Infrequently,Clear and moderately vivid,1-2 seconds,"No change, fully alert in the here and now",,All over the screen,29.629629629629623,0.5340424425789474,0.1711278971052631,1.000946498,0.4589737548421053,0.2244686794736841,4.220921475315789,0.4212415713157894,1.2062606205789472,2.9403235901578944,0.5424120155263157,0.4369075423684211,4.229693405157895,2.9534814848947364,4.274137849578947,0.9272073166352024,27,typical_imagery,typical_imagery,0,2,typical_imagery
14,Male,50,10,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['dark', 'gray', 'hexagonal', 'lattice', 'appeared', 'occasionally', 'flashing', 'red', 'pink', 'black', 'background', 'white', 'sometimes', 'center']",1-2 minutes,Frequently,"Clear, but not vivid, Clear and moderately vivid, Clear, vivid, and/or bright",Brief moment or flash,"As if in a dreamlike state, Lost a sense of time","Surprisingly comfortable most of the time.  At about 10 minutes I started feeling a little nauseated and wanted to stop, so I stopped.",In the center,14.285714285714285,0.5519216239166667,0.1569508265833333,0.3603342436666666,0.4860444310833332,0.1434935805833333,3.8065078581666665,0.3348437659999999,0.6864841051666666,2.4840006004166666,0.48946204075,0.39746678975,3.8342856359166664,2.4840006004166666,3.8367222831666665,1.5631689660872228,14,hyperphantasia,hyperphantasia,3,3,hyperphantasia
15,Male,71,6,Less than 10min.,No,Computer,No feeling about it one way or the other,Colors other than red and black,"['flashing', 'color', 'red', 'blue', 'green', 'amorphous', 'shape', 'sense', 'moving', 'fast', 'colored', 'cloud', 'nebula']",not applicable,not applicable,not applicable,not applicable,"No change, fully alert in the here and now",not applicable,not applicable,7.6923076923076925,0.7273139406666668,0.3289625285833333,0.9630729389166666,0.8879368481666666,0.3150308329999999,4.089464166916666,0.9938021119166666,1.3975151344166663,2.8905622624999996,0.9411504884166666,0.8806332112500002,4.136339166916666,3.03970269975,4.203032759999999,0.2912456671831819,13,typical_imagery,typical_imagery,0,2,typical_imagery
16,Male,56,0,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['mostly', 'honeycomb', 'red', 'black', 'blurred', 'moving', 'slowly', 'shifting', 'sometimes', 'went', 'mostly', 'red', 'one', 'area', 'could', 'slide', 'around']",They began to emerge immediately,Constantly,"Weak, faint, or insubstantial","Constant, morphing from one image to the next",Became relaxed or sleepy,drowsy - but it was evening after previous night with not much sleep,All over the screen,0.0,1.141500232647059,0.3234019304705882,0.9384126407058824,0.8981733457058825,0.305063119235294,3.3882650687058824,1.2092794640588236,1.4402725992941177,2.3088456160588233,1.133775828352941,1.0842098270000002,3.4217137422941177,2.5206368394117646,3.4782070520588237,-1.6166392811728794,17,aphantasia,aphantasia,1,0,aphantasia
17,Male,43,8,Less than 10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Complex objects (e.g., animals, faces, buildings), Complex environments (e.g., cityscapes, forests), alien","['star', 'got', 'relatively', 'bright', 'cityscape', 'outline', 'random', 'shape', 'alien', 'figure', 'everything', 'sort', 'motion']",A few seconds,Frequently,Clear and moderately vivid,Persisting several seconds,"No change, fully alert in the here and now",,"In the center, In the periphery, All over the screen",0.0,1.2404775134615385,0.4537559017692307,1.4778749286153845,1.016365149153846,0.522173694,3.697637050692307,1.113037123153846,1.8576280727692305,2.648069172846154,1.2274656299230768,1.015829068076923,3.702161937538462,2.863942188692308,3.809842337615385,0.9272073166352024,13,typical_imagery,typical_imagery,0,2,typical_imagery
18,Male,47,8,Longer than 10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['note', 'interpreted', 'image', 'include', 'simple', 'shape', 'pattern', 'color', 'red', 'black', 'image', 'refers', 'figurative', 'image', 'please', 'disregard', 'answer', 'question', 'soon', 'seemed', 'divided', 'square', 'tile', 'usually', 'orange', 'blue', 'checkered', 'pattern', 'although', 'sometimes', 'complex', 'dark', 'green', 'tile', 'different', 'shape', 'corner', 'tile', 'dark', 'green', 'tile', 'covered', 'pattern', 'irregular', 'little', 'curly', 'scratch', 'flicker', 'came', 'le', 'fill', 'visual', 'field', 'sometimes', 'start', 'see', 'little', 'spinning', 'wheel', 'around', 'periphery', 'showing', 'checkered', 'pattern', 'also', 'decorated', 'irregular', 'little', 'curly', 'scratch', 'bright', 'orange', 'dark', 'predominated', 'especially', 'bright', 'glow', 'appeared', 'center', 'sometimes', 'became', 'center', 'asterisk', 'bright', 'line', 'extending', 'edge', 'visual', 'field', 'bright', 'line', 'consisted', 'parallel', 'stripe', 'different', 'color', 'like', 'rainbow', 'one', 'point', 'collection', 'rainbow', 'line', 'extending', 'across', 'visual', 'field', 'point', 'low', 'central', 'sometimes', 'thick', 'bright', 'line', 'would', 'appear', 'various', 'angle', 'offset', 'center', 'line', 'bright', 'dark', 'band', 'alternating', 'along', 'length', 'sometimes', 'bright', 'dark', 'band', 'would', 'seem', 'moving', 'along', 'line', 'concentrated', 'could', 'change', 'direction', 'movement', 'closed', 'eye', 'background', 'became', 'paler', 'see', 'network', 'like', 'cobweb', 'centered', 'middle', 'visual', 'field', 'pastel', 'green', 'thread', 'pastel', 'blue', 'jewel', 'node', 'thread', 'met']",They began to emerge immediately,Constantly,"Clear, vivid, and/or bright","Constant, morphing from one image to the next",I felt slightly giddy and very slightly slightly entranced.,"I didn't feel strongly altered, just a slight sort of giddiness as the patterns moved. I felt somewhat absorbed by the experience, slightly hypnotized.",All over the screen,6.748466257668712,1.0045959610460524,0.2068035976710527,1.157929023907895,0.7265001603881579,0.2344832994736842,3.6101143451184208,0.8433224981644729,1.3155753564802628,2.584689831690788,0.8201072696842107,0.6553342722960527,3.7065241405789457,2.7733082955460517,3.79236149155263,0.9272073166352024,163,typical_imagery,typical_imagery,0,2,typical_imagery
19,Male,30,6,10min.,No,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['grid', 'box', 'bit', 'blue', 'static', 'circular', 'vortex', 'middle', 'whenever', 'refocused', 'long', 'straight', 'line', 'like', 'embossing', 'grew', 'divided', 'moved']",A few seconds,Constantly,"Clear, but not vivid",,As if in a dreamlike state,Felt like I was falling forward,,11.11111111111111,0.855858547125,0.1783680273125,1.653121329125,0.8175543543125,0.18403170125,3.3350922310624997,0.8357437306875,1.5565785663125,2.1185381338125,0.896039792375,0.6869562370625,3.50885215175,2.418388692625,3.5956366533125,0.2912456671831819,18,typical_imagery,typical_imagery,0,2,typical_imagery
20,Female,21,3,Less than 10min.,Yes,Computer,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex objects (e.g., animals, faces, buildings), Complex environments (e.g., cityscapes, forests)","['lot', 'kind', 'scary', 'bird', 'one', 'time', 'one', 'tried', 'break', 'something', 'beak', 'real', 'hard', 'bat', 'flying', 'truck', 'driving', 'fast', 'low', 'point', 'view', 'scary', 'face', 'laughing', 'pattern', 'kind', 'pattern', 'shadow', 'face', 'profile']",1-2 minutes,Frequently,Clear and moderately vivid,1-2 seconds,"No change, fully alert in the here and now, As if in a dreamlike state",no,All over the screen,0.0,1.8680326668666667,0.3850744991666667,1.5297452823333333,1.3349835410333335,0.4227058326666668,3.5918025772333335,1.1249634223333336,1.6952266929333333,2.881173086133332,1.420869550966667,1.0086394076666667,3.7097677964,3.117789892466665,3.7551367755,-0.6626968069948487,30,aphantasia,aphantasia,1,0,aphantasia
21,Male,44,6,Longer than 10min.,No,Mobile phone,No feeling about it one way or the other,starbursts of 🎵,"['first', 'thin', 'slitted', 'nose', 'belonging', 'nonthreatentity', 'music', 'drop', 'bursting', 'happily', 'increasing', 'till', 'wednesday', 'said', 'stun', 'stun', 'sun', 'sun', 'yellow', 'filled', 'tastebud', 'reminding', 'dandelion']","5-7 minutes, Non-conforming",Rapidly sporadic or sporadically rapid to non-existent,tasted yelllow,well I played with it then released it,"normal is non-conforming, I don't call you stupid just cause you can't taste colors and hear Universe",sleepy,clustered in top to middle left side then mid to bottom right corner,17.391304347826086,1.3756433052105266,0.4180247604736842,1.3466817565263158,1.5624574704210523,0.5097709612105263,3.060398341947369,0.8805614365789474,1.5341365425789473,2.4020611259473683,1.4917129447894737,0.917314961736842,3.78778072863158,2.8934738683157897,3.854193970684211,0.2912456671831819,23,typical_imagery,typical_imagery,0,2,typical_imagery
22,Female,33,4,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex objects (e.g., animals, faces, buildings)","['permanent', 'red', 'dark', 'green', 'checkerboard', 'cross', 'middle', 'checkerboard', 'turn', 'interlacing', 'often', 'streak', 'dot', 'color', 'white', 'yellow', 'light', 'green', 'blue', 'carved', 'fish', 'first', 'half', 'video', 'green', 'spot', 'started', 'look', 'like', 'big', 'cartoonish', 'blue', 'fish', 'spot', 'started', 'look', 'like', 'silhouette', 'fish', 'two', 'dragon', 'start', 'second', 'half', 'chessboard', 'looked', 'like', 'pole', 'cloud', 'suddenly', 'vermiform', 'monster', 'trying', 'get', 'cloud', 'difficulty', 'another', 'show', 'imitated', 'watch', 'radiated', 'malevolence', 'great', 'dragon', 'impression', 'watching', 'damaged', 'film', 'ganzflickter', 'filter', 'front', 'image', 'large', 'scaly', 'dragon', 'slowly', 'walking', 'right', 'going', 'go', 'frame', 'dragon', 'worse', 'first', 'malicious', 'powerful', 'sneaky', 'afraid', 'would', 'attack', 'reassure', 'voluntarily', 'came', 'trance', 'voluntarily', 'moving', 'eye']","1-2 minutes, 5-7 minutes, l'échiquier est apparu immédiatement. il a fallu attendre plus de 4 minutes pour que les poissons apparaissent. les trois dragons sont apparus peut après. plus le temps passait, plus les visions étaient concrètes. une histoire se développait.",Infrequently,"Weak, faint, or insubstantial, Clear and moderately vivid, les dragons étaient clairement des personnages de films apparaissant sur un écran, mais ils avaient bien des personnalités et semblaient avoir la capacité d'interragir avec moi et la réalité.","Brief moment or flash, Persisting several seconds, Constant, morphing from one image to the next",Became relaxed or sleepy,"167 / 5 000
Résultats de traduction
I was fully aware of being in my living room, petting my cats, but I was concentrating on the screen. Like I was immersed in a demanding task.","In the center, quand j'ai bougé mon regard, des morceaux du grand dragon se sont déplacé avec lui.",11.34020618556701,1.1905984395581397,0.3598775846627908,1.0505241059883723,1.0129577432790695,0.3992291728139535,3.4710197991279057,0.9501908193255814,1.4468324036279074,2.756271167767442,1.0583617310348843,0.811884244604651,3.5785526791279065,2.9471935368255817,3.7174893776511624,-0.3447159822688385,97,typical_imagery,typical_imagery,0,2,typical_imagery
