id,gender,age,visual_vividness,view_duration,lights,computer,emotion,hallucination_categorical,hallucination_description,emerge_time,hallucination_frequency,hallucination_intensity,hallucination_duration,consciousness_change,consciousness_description,hallucination_location,percent_missing,auditory_strength,gustatory_strength,haptic_strength,interoceptive_strength,olfactory_strength,visual_strength,foot_strength,hand_strength,head_strength,mouth_strength,torso_strength,perceptual_strength,action_strength,sensorimotor_strength,visual_vividness_z,description_length,visual_vividness_cat,visual_vividness_cat_reordered,visual_vividness_cat_reordered_codes,visual_vividness_cat_codes,visual_vividness_bicat
1481,Male,17,7,Longer than 10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), I also saw a lot of white dots which were rotating clockwise, but at the middle part of the screen there was a big black space that nothing was happening. It was like space with a black hole in the middle and the rest is covered with stars which are at same size","['see', 'variety', 'thing', 'say', 'remember']",5-7 minutes,Frequently,"Weak, faint, or insubstantial",Persisting several seconds,Became relaxed or sleepy,,All over the screen,0.0,1.9839052288,1.0054411764000002,1.1276470587999998,1.3757843136,1.0607352942,3.1279411764,0.42,0.7961904762,3.1566666665999996,1.4414285714,0.4876190476000001,3.819117647,3.6266666666,4.250238095199999,0.6092264919091922,5,typical_imagery,typical_imagery,0,2,typical_imagery
1482,Female,35,1,Didn't time it,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Distortions (e.g., screen warping or rotating), Colors other than red and black","['see', 'complex', 'shape', 'object', 'mainly', 'bstract', 'stuff', 'like', 'close', 'eye', 'sun', 'shine', 'pulsating', 'black', 'appearing', 'greenish', 'like', 'smoke', 'even', 'sometimes', 'white', 'green', 'sprinkle', 'cluster', 'moved', 'moved', 'eye', 'anything', 'else', 'little', 'fly', 'sittingon', 'dirt', 'spot', 'always', 'seemed', 'red', 'around', 'area', 'smoke', 'seemed', 'last', 'longer', 'mouse', 'also', 'distrubing', 'accidentally', 'moved', 'also', 'seemed', 'surrounded', 'red', 'kept', 'changing', 'focus', 'vision', 'changed', 'effets', 'gave', 'eye', 'rest', 'made', 'blurry', 'focusing', 'close', 'moved', 'eye', 'around', 'checking', 'washed', 'corner', 'frame', 'always', 'le', 'color', 'likely', 'bleeding', 'pixel', 'noticed', 'certain', 'pattern', 'warp', 'almost', 'eye', 'shaped', 'form', 'would', 'follow', 'focus', 'around', 'suggesting', 'related', 'eye', 'ability', 'blind', 'spot', 'whatever']","1-2 minutes, A first I was distracted thinking of a horror movie or of how if someone spooks me now, m heart would stop, but that came to pass.","Infrequently, patterns or distortions, depending on how i focused my eyes, I often wandered round the screen, no images as in pictures, just patterns and abstract stuff. The most vivid was a bit of white or green coming up in varying sprinkles at different times and length periods.","Weak, faint, or insubstantial","Patterns and distortions were on off and changing, again it seemed to depend on my eyes focus, level of attention and wandering over the screen or holding still or ""zooming out"" my vision to take a break or play with effects.","No change, fully alert in the here and now, The red light (warning color), creepy white noise an it being dark and just past 0am, made it feel spooky and I had a rather unpleasant feeling for the first half of it. But my mind could slowly quiet and reason my tension and at the end I was having a bit more fun, playing around with my vision, but still fully alert.",,"All over the screen, distortions mainly in the middle, or when i shifted my eyes tey would follow the focus of my eyes, be centered or close to centre. But if i was slightly out of focs the black became like ""smoke or clouds or pulsating"" even outside of the screen.",20.61855670103093,1.0437150512597402,0.2990916849090907,1.1660257848571427,1.0123232963506492,0.4751264893506494,3.3562847534025986,0.7849669427012987,1.3324704039480515,2.78404234787013,1.0237190550259745,0.7837235423506494,3.456270880233768,2.9589116778961033,3.6594965795974024,-1.298658456446869,97,aphantasia,aphantasia,1,0,aphantasia
1483,Male,17,4,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex objects (e.g., animals, faces, buildings)","['see', 'anything', 'first', 'started', 'seeing', 'plaid', 'pattern', 'later', 'pattern', 'differed', 'sometimes', 'two', 'intersecting', 'line', 'forming', 'pattern', 'turned', 'bright', 'immersed', 'thought', 'imagination', 'parabolic', 'pattern', 'briefly', 'changed', 'ring', 'saturn', 'jupiter', 'could', 'see', 'second', 'towards', 'end', 'vertically', 'oval', 'object', 'suddenly', 'turned', 'spot', 'jupiter', 'suddenly', 'began', 'sway', 'left', 'right', 'glitch', 'effect', 'entered', 'bug', 'last', 'thing', 'remember', 'devilish', 'smiley', 'face', 'comic', 'book', 'version', 'joker', 'may', 'comment', 'youtube', 'video', 'led', 'test', 'people', 'said', 'joker', 'might', 'influence', 'joker', 'expectation']",5-7 minutes,"Infrequently, 4 or 5 times",Clear and moderately vivid,1-2 seconds,Became relaxed or sleepy,"I was sleepy, my eyelids nearly closed. I was lost in my own thoughts.",In the center and right,13.88888888888889,1.5960604263387093,0.239786494548387,0.996792290483871,1.0411333592580645,0.320000006483871,3.1615939844193535,0.7661784886612901,1.308980394758065,2.7414004180322573,1.228653616919355,0.7291452394032257,3.3957235049516123,2.896542978693549,3.5430929777419347,-0.3447159822688385,72,typical_imagery,typical_imagery,0,2,typical_imagery
1484,Female,33,5,Less than 10min.,Yes,Computer,"Unpleasant, wanted it to stop","Colors other than red and black, Instead of black I saw a bright blue.","['see', 'anything', 'flicker', 'slowly', 'black', 'flash', 'began', 'appear', 'vividly', 'blue', 'found', 'experience', 'uncomfortable', 'unable', 'watch', 'longer']",1-2 minutes,No images,,,"No change, fully alert in the here and now",,,6.25,1.321704793,0.4668650384666666,0.9987682033333332,1.3425051600000002,0.5272354088,3.8346072698,1.2717683544,1.6133413598666666,3.2069956679999994,1.2337560925333335,1.1303487924,3.974958147,3.2385746153999992,3.987063410133333,-0.0267351575428282,16,typical_imagery,typical_imagery,0,2,typical_imagery
1485,Prefer not to say,,1,10min.,Yes,iPad Pro 2018,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['didnt', 'see', 'anything', 'substantial', 'though', 'thought', 'would']",1-2 minutes,Infrequently,"Weak, faint, or insubstantial",Brief moment or flash,"No change, fully alert in the here and now",,"In the center, All over the screen",14.285714285714285,1.3933665865,0.450877193,0.5681458548333332,1.4134244926666666,0.4092105263333334,2.3369883041666664,0.7096872081666667,0.8431139121666665,3.0419467786666665,1.0486227823333334,0.7944911296666667,2.8118851049999996,3.0419467786666665,3.1461988304999995,-1.298658456446869,7,aphantasia,aphantasia,1,0,aphantasia
1486,Female,31,7,10min.,Yes,Mobile phone,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['think', 'anything', 'thought', 'expected', 'see', 'figure', 'image', 'actual', 'detail', 'answer', 'choice', 'shape', 'pattern', 'like', 'streak', 'light', 'spiderwebs', 'realized', 'seeing', 'might', 'actually', 'part', 'hallucinatory', 'experience']",1-2 minutes,Constantly,"Weak, faint, or insubstantial, Clear, but not vivid",Brief moment or flash,"Became relaxed or sleepy, As if in a dreamlike state",,All over the screen,12.5,1.4424261783333332,0.4849317079523809,1.149136347761905,1.4279219183809524,0.5037066713333334,3.2298764694761903,0.6959863683333332,1.2219618024285712,3.121588940333333,1.0935134626666667,0.7461940770476191,3.5969538267619052,3.173969892714286,3.819323089952382,0.6092264919091922,24,typical_imagery,typical_imagery,0,2,typical_imagery
1487,Nonbinary,29,5,10min.,Yes,PS4/TV,"Enjoyable, didn't want it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Complex objects (e.g., animals, faces, buildings)","['directly', 'pink', 'purple', 'yellow', 'line', 'mind', 'image', 'interior', 'appeared', 'old', 'scandinavian', 'house', 'wood', 'floor', 'wood', 'paneling', 'bench', 'white', 'cushion', 'right', 'bar', 'separating', 'front', 'hall', 'kitchen', 'left', 'need', 'physically', 'move', 'eye', 'look', 'around', 'environment', 'one', 'point', 'image', 'green', 'trollish', 'person', 'two', 'horn', 'coming', 'front', 'door', 'sound', 'menacing', 'felt', 'comforting']",1-2 minutes,Constantly,"Lines were vivid, house interior was purely mental","Constant, morphing from one image to the next","As if in a dreamlike state, Felt transported to another place, Lost a sense of time, Felt like both a lot less and a lot more than 10 minutes.","I felt soothed, disconnected from time (in a peaceful way), and at home in the environment my mind was conjuring. While I was experiencing it, it seemed like a long time, but once it was over, it was as if it were only a few seconds. Very dreamlike, though the imagery wasn't as intense. I wanted to stay in that environment and see what came of it. I would have stayed longer if the white noise recording was longer.",All over the screen,6.25,1.2475892167111111,0.2858593433999999,1.6852910893111108,0.916206775177778,0.4844493587111111,3.6166633230444423,1.2878382054666666,1.7239143496,2.754738067511111,1.0082951963777778,0.9807309115333336,3.919762738266666,3.076372346466666,4.011132114666665,-0.0267351575428282,48,typical_imagery,typical_imagery,0,2,typical_imagery
1488,Female,57,0,Less than 10min.,Yes,Computer,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, I “almost” saw a forest then ocean then a crowd of people ","['know', 'actually', 'vision', 'much', 'felt', 'got', 'impression', 'forest', 'distance', 'ocean', 'crowd', 'people', 'busy', 'street']",5-7 minutes,Infrequently,"Weak, faint, or insubstantial",Brief moment or flash,"As if in a dreamlike state, As if in a dreamlike state but would snap back when I blinked or refocused. I was not sure as to how to let my eyes try to focus or just go out of focus",,In the periphery,0.0,1.989465874142857,0.4372479255714285,1.692806026,1.4037943247142854,0.9052239755714286,3.330969624642857,1.5052573022857143,1.6489211155,2.7620381644999994,1.1373994414285715,0.9938651378571428,3.5846184526428573,3.0024731263571427,3.7128592226428574,-1.6166392811728794,14,aphantasia,aphantasia,1,0,aphantasia
1489,trans,59,5,Less than 10min.,Yes,Computer,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['know', 'odd', 'like', 'faint', 'itunes', 'visualizer']",A few seconds,Constantly,"Weak, faint, or insubstantial",Brief moment or flash,"No change, fully alert in the here and now, I felt anxious. I wanted to turn it off. ",,All over the screen,0.0,1.7691950465,0.4815715761666667,0.7238525233333332,1.9539670255,0.5197417563333333,2.915106393333333,0.7088554720000001,1.272639933166667,3.741875522166667,1.3087928151666666,0.8194653301666666,3.565433190833333,3.741875522166667,4.095238095166667,-0.0267351575428282,6,typical_imagery,typical_imagery,0,2,typical_imagery
1490,Male,16,3,Less than 10min.,Yes,Computer,"Enjoyable, didn't want it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['faintly', 'looking', 'elevator', 'shaft', 'went', 'triangular', 'gate', 'always', 'red', 'slash', 'mark', 'red', 'black', 'always', 'melded', 'together', 'always', 'red', 'slash', 'mark', 'peeking', 'background', 'earlier', 'mum', 'thing', 'slash', 'mark', 'cut', 'indent', 'whatever', 'wan', 'na', 'call', 'time', 'also', 'seen', 'different', 'type', 'rectangular', 'hallway']",1-2 minutes,Frequently,"Weak, faint, or insubstantial",1-2 seconds,Lost a sense of time,"When I did this with mum earlier, we did it for 10 minutes. It felt like 2.
Now, it was for 5 minutes. Felt like 1-2.
Otherwise, though, I was 100% alert and aware of what was going on.",In the center,12.5,1.0659190981428572,0.2074037605428571,1.075221996285714,0.8084177977714285,0.2467547689142857,3.2691379933714284,0.6793988344285714,1.8306698564285715,2.474557989114286,0.850465296142857,0.5946417546571429,3.3911618028857142,2.9471733510285714,3.596287251742857,-0.6626968069948487,40,aphantasia,aphantasia,1,0,aphantasia
1491,Male,44,6,Less than 10min.,No,Computer,"Unpleasant, wanted it to stop","indoor scene, like in a room without windows","['feel', 'visual', 'perception', 'influenced', 'felt', 'moment', 'uncomfortable', 'felt', 'terrorized', 'mind', 'began', 'make', 'interrogation', 'room', 'scene', 'triggered', 'memory', 'violent', 'scene', 'movie']",A few seconds,Infrequently,"Weak, faint, or insubstantial","1-2 seconds, Persisting several seconds","No change, fully alert in the here and now","I felt uncomfortable, agitated and a little paranoid",In the center,15.0,1.6898658845294117,0.464287774,1.5764918713529412,1.6915838110588235,0.6025657064117647,2.880555664,1.108883226352941,1.6936507936470588,3.1335990935294116,1.235584393235294,0.9750836538235294,3.760412601647059,3.5700019880588236,4.036829494529412,0.2912456671831819,20,typical_imagery,typical_imagery,0,2,typical_imagery
1492,Male,40,6,Less than 10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['felt', 'like', 'line', 'lightning', 'sometimes', 'flash', 'yellow', 'blue', 'quick', 'though', 'almost', 'beat', 'flashing']",A few seconds,Constantly,"Weak, faint, or insubstantial",Brief moment or flash,Was trying to focus on the experience,,In the center,0.0,1.272888953153846,0.2216465939230769,0.8453378449230768,1.0408305831538462,0.2614937608461539,3.128096778461539,0.961689480153846,1.3981845639999997,2.4541931753076924,0.8376229033076922,0.7768716663846155,3.5884688625384618,2.838259109461539,3.659505428384615,0.2912456671831819,13,typical_imagery,typical_imagery,0,2,typical_imagery
1493,agender,15,6,Less than 10min.,No,Computer,"Unpleasant, wanted it to stop","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['felt', 'like', 'river', 'water', 'rushing', 'loud', 'could', 'hear', 'think', 'standing', 'water', 'bare', 'foot', 'slipping', 'stone', 'looked', 'sky', 'sky', 'fire', 'knew', 'explosion', 'distance', 'felt', 'like', 'world', 'ending', 'made', 'stop', 'ten', 'minute']",A few seconds,Frequently,Clear and moderately vivid,Persisting several seconds,Felt transported to another place,I felt like I was in another location and i could feel everything moving around me. My heart started beating faster and I felt like something terrible was going to or had already happened. ,All over the screen,3.3333333333333335,1.7794903669310342,0.5821088386896551,1.6743916841034483,1.389996953724138,0.5520546556551722,2.9768102916206898,1.6871622284137928,1.7785851429310349,2.6558885670000008,1.3908291902068963,1.1630087342068962,3.6907493097241377,3.3675772715172423,3.945565479103448,0.2912456671831819,30,typical_imagery,typical_imagery,0,2,typical_imagery
1494,Gender fluid ,28,5,Less than 10min.,Yes,Mobile phone,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['felt', 'like', 'trance', 'focused', 'let', 'eye', 'shift', 'around', 'light', 'morphed', 'pattern', 'like', 'kaleidoscope']",A few seconds,Frequently,"Very vivid, almost real, or popping out of the screen","Constant, morphing from one image to the next",As if in a dreamlike state,I felt like I was in a trance when I focused my eyes. I felt light,All over the screen,15.384615384615383,1.0279594933636362,0.3232787295454545,1.387063748909091,1.3874362824545454,0.368447355,2.886804634090909,0.8095209056363636,1.546397187181818,3.0713622290000004,1.0947238864545454,0.8010116648181818,3.443651296272727,3.325668449090909,3.6598848390909096,-0.0267351575428282,13,typical_imagery,typical_imagery,0,2,typical_imagery
1495,Male,18,8,Less than 10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['felt', 'poping', 'like', 'colour', 'getting', 'larger', 'size', 'something', 'like', 'red', 'colour', 'spiralling']",A few seconds,"Frequently, Constantly",,,"No change, fully alert in the here and now, Became relaxed or sleepy",,,25.0,1.0097155334444443,0.6578189755555557,1.5931734292222222,1.3187782912222223,0.6462923376666667,3.309226907,1.126197475111111,2.1164206564444448,3.175585055888889,1.493054904,1.1724312267777777,3.852251134333333,3.5507312546666667,4.062378167555555,0.9272073166352024,12,typical_imagery,typical_imagery,0,2,typical_imagery
1496,Male,29,7,Didn't time it,Yes,TV Screen,"Enjoyable, didn't want it to stop","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['felt', 'expanding', 'getting', 'closer', 'faint', 'shape', 'forming', 'new', 'color', 'felt', 'cold', 'easily', 'described', 'word', 'want', 'stop', 'blinked', 'way', 'le', 'often', 'ordinary', 'wanted', 'keep', 'eye', 'open', 'long', 'possible']",A few seconds,Frequently,"Clear, but not vivid",Brief moment or flash,"As if in a dreamlike state, Felt transported to another place, Lost a sense of time","No sense of time, very faint but noticeable out of body feeling. Calm and zen, a deep sort of satisfaction, not really happiness but just as enjoyable.",All over the screen,14.814814814814811,1.185229550304348,0.4097677882608695,1.8298763819565216,1.3881372617391303,0.4108936314347826,3.0550931307826086,1.2058264897826088,1.9655472673478256,2.6841051905217395,1.2906010084347828,1.0836504963913045,3.4364120407826086,3.059376702608696,3.5904952064782605,0.6092264919091922,27,typical_imagery,typical_imagery,0,2,typical_imagery
1497,Female,36,8,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['figured', 'white', 'noise', 'full', 'ten', 'min', 'felt', 'like', 'watching', 'couple', 'minute', 'freaked', 'see', 'gone']",A few seconds,Constantly,"Clear, but not vivid","Brief moment or flash, Constant, morphing from one image to the next",Lost a sense of time,,In the center,14.285714285714285,1.174393705,0.2819966584166666,0.8730775058333334,1.4336310547500002,0.2408277638333333,2.815718217083333,0.735712387,1.135016835,2.9167191969166666,1.1255291005,0.7709994683333333,3.709697446333333,3.1449599376666666,3.8792288207499994,0.9272073166352024,14,typical_imagery,typical_imagery,0,2,typical_imagery
1498,Female,24,9,10min.,Yes,Mobile phone,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex objects (e.g., animals, faces, buildings), Outlines of Butterflies, a soccer ball, a monkey ","['first', 'began', 'seeing', 'shape', 'like', 'diamond', 'line', 'descending', 'ascending', 'mid', 'line', 'waving', 'back', 'forth', 'across', 'color', 'green', 'round', 'line', 'wavering', 'vertically', 'first', 'object', 'soccer', 'ball', 'could', 'see', 'two', 'dimensional', 'design', 'little', 'hexagon', 'ball', 'clear', 'twice', 'time', 'rose', 'top', 'outline', 'butterfly', 'came', 'next', 'floated', 'quickly', 'upward', 'random', 'small', 'monkey', 'riding', 'something', 'top', 'right', 'quarter', 'think', 'also', 'row', 'sheep', 'looking']",5-7 minutes,Infrequently,"Clear, but not vivid",1-2 seconds,As if in a dreamlike state,"My eyes were no longer focusing, it just drifting and observing. Like they were focusing on everything at the same time. And my body began instinctively to tap my toes at a marching rhythm without me knowing. ",In the center,5.172413793103448,1.0171848038181817,0.2236265016363636,1.2855087452,0.8753964920727271,0.3357925172363636,3.385223660600001,1.0607801320181816,1.6974977439636365,2.418924853781818,0.8076064675636364,0.8467154380545453,3.465938370745455,2.727013619072727,3.614046297545456,1.2451881413612125,58,typical_imagery,typical_imagery,0,2,typical_imagery
1499,Male,19,7,Less than 10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['first', 'noticed', 'red', 'black', 'flash', 'desynchronized', 'appeared', 'chaotic', 'pattern', 'red', 'black', 'appearing', 'vivid', 'image', 'symmetrical', 'cross', 'made', 'one', 'line', 'top', 'bottom', 'across', 'one', 'line', 'horizontal', 'across', 'oblong', 'round', 'shape', 'one', 'eye', 'almond', 'shaped', 'one', 'oval', 'around', 'edge', 'whole', 'briefly', 'dark', 'blue', 'instead', 'black', 'flicker', 'appeared', 'happen', 'wave', 'starting', 'upper', 'right', 'corner', 'propagating', 'diagonally', 'across', 'towards', 'end', 'seemed', 'like', 'red', 'default', 'black', 'appeared', 'irregular', 'chaotic', 'flash', 'phenomenon', 'felt', 'neurological', 'psychological', 'like', 'experiencing', 'visual', 'artifact', 'eye', 'taking', 'light', 'rather', 'anything', 'meaningful', 'creative']",A few seconds,Infrequently,"Weak, faint, or insubstantial",Persisting several seconds,"No change, fully alert in the here and now",,"In the center, Often symmetrical and taking up the whole screen",11.25,1.0052645373098592,0.3104088726760563,1.0615921508169013,0.8776444212535213,0.2837714362112675,3.5100712549295783,0.7892113071690139,1.402088637380281,2.634457892169014,0.8972674008591548,0.7295493453098592,3.645956007887324,2.7779075489295777,3.746554663478875,0.6092264919091922,80,typical_imagery,typical_imagery,0,2,typical_imagery
1500,Male,22,3,Less than 10min.,No,Mobile phone,"Somewhat unpleasant, but didn't mind going on","Colors other than red and black, Eyes","['first', 'faint', 'clearly', 'defined', 'green', 'circle', 'turned', 'gold', 'seemed', 'briefly', 'eye', 'afterwards', 'part', 'fingerprint', 'started', 'morph', 'faint', 'image', 'eye', 'brief', 'instant', 'new', 'eye', 'appearing', 'continuation']",1-2 minutes,Constantly,"Weak, faint, or insubstantial","Constant, morphing from one image to the next","Felt agitated, uneasy",,"In the center, In the periphery",12.0,1.023634986818182,0.2817809620454545,1.0891375228636362,1.0218680487272729,0.3161324099090909,3.4100707224545457,0.7219730196363636,1.3652298359090909,2.907052669590909,0.8580072340000001,0.704456691,3.4100707224545457,3.034758297272727,3.6771328742727274,-0.6626968069948487,25,aphantasia,aphantasia,1,0,aphantasia
1501,Male,32,9,Less than 10min.,No,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['first', 'pattern', 'like', 'flying', 'grid', 'gave', 'way', 'swirling', 'system', 'move', 'across', 'like', 'viewing', 'atmosphere', 'jupiter', 'would', 'morph', 'diagonal', 'streak', 'jagged', 'sharp', 'would', 'morph', 'kaleidoscopic', 'fractal', 'circle', 'moving', 'spinning', 'starting', 'circular', 'shape', 'transitioning', 'sharp', 'triangular', 'shape']",They began to emerge immediately,Constantly,Clear and moderately vivid,"Constant, morphing from one image to the next","As if in a dreamlike state, Lost a sense of time",I tried to keep focus on the screen without my eyes relaxing and almost crossing but still found myself unable to focus and just let the experience happen.,All over the screen,11.428571428571429,0.9458549564193548,0.2593390497419355,1.4936261292903223,1.007267212387097,0.2416797449032258,3.3956621289999993,1.1711436677096771,1.8636631011612907,2.586508144806451,1.0433202507741937,1.0176954574838706,3.5467419157741924,2.7388562331612905,3.763981092258064,1.2451881413612125,35,typical_imagery,typical_imagery,0,2,typical_imagery
1502,Male,67,8,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Complex environments (e.g., cityscapes, forests)","['first', 'shadow', 'figure', 'ploughing', 'like', 'shadow', 'theatre', 'receding', 'pyramid', 'slow', 'river', 'running', 'right', 'left', 'plain', 'left', 'scrub', 'tree', 'hot', 'static', 'people', 'lazy', 'scene', 'pyramid', 'looked', 'eqyptian', 'left', 'bank', 'river', 'scrub', 'palm', 'tree', 'wondered', 'became', 'rushing', 'train', 'journey', 'first', 'forest', 'headlong', 'downwards', 'oddly', 'green', 'white', 'snow', 'swirled', 'steam', 'engine', 'rode', 'front', 'could', 'hear', 'train', 'sound', 'white', 'noise', 'rush', 'fir', 'branch', 'crashing', 'side', 'train', 'also', 'white', 'bird', 'flying', 'oclock', 'alongside', 'train', 'close', 'unharmed', 'tree', 'seemed', 'fly', 'straight']",5-7 minutes,Frequently,Clear and moderately vivid,"Constant, morphing from one image to the next","No change, fully alert in the here and now",,All over the screen,16.0,1.71871824215873,0.2711242164761905,1.4343839353492065,0.9729080373650792,0.464191600968254,3.4099902674761906,1.3339748061111116,1.780075422126984,2.50448761663492,0.9441734118253964,1.0483494560476196,3.755578756317461,2.7758305400952383,3.891252361190477,0.9272073166352024,75,typical_imagery,typical_imagery,0,2,typical_imagery
1503,Female,39,8,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, a woman's princess dress but it was pretty abstract","['first', 'flashing', 'shape', 'princess', 'dress', 'blueish', 'color', 'started', 'seeing', 'flashing', 'x', 'shape', 'took', 'spinning', 'circle', 'would', 'turn', 'like', 'stream', 'movement', 'bottom', 'left', 'top', 'right', 'would', 'go', 'back', 'spinning', 'circle', 'spinning', 'circle', 'size', 'video', 'moved', 'back', 'forth', 'started', 'one', 'circle', 'turned', 'two', 'circle']",1-2 minutes,Constantly,Clear and moderately vivid,"Brief moment or flash, 1-2 seconds, Persisting several seconds, Constant, morphing from one image to the next","Became relaxed or sleepy, Lost a sense of time",It felt like less than 10 minutes. It was relaxing and fun.,"In the center, All over the screen",14.285714285714285,0.9728271864166664,0.2092690878055556,1.4948598858888893,1.0070333445,0.1864256569722221,3.62617156986111,1.330196149972222,1.9611275261388892,2.5292160993333335,0.9003794890555555,1.2920877731944445,3.6782257248611105,2.776182473583334,3.828073690333332,0.9272073166352024,42,typical_imagery,typical_imagery,0,2,typical_imagery
1504,Female,33,3,Less than 10min.,Yes,Computer,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['first', 'looked', 'like', 'simple', 'outline', 'sun', 'ray', 'emanating', 'second', 'image', 'looked', 'like', 'faint', 'outline', 'christmas', 'tree']",A few seconds,Frequently,"Clear, but not vivid","first image about 3.5 minute, second image about 3.5 minutes","As if in a dreamlike state, Felt irritated in a very deep way and wanted it to stop. ",,In the center,18.75,1.2062285753846154,0.4225131077692307,1.2450275214615385,1.3239673724615386,0.5781557494615385,3.362086034769231,0.9268255479230768,1.6434094284615384,2.747057122538462,1.3160270585384617,0.9665305797692308,3.5598882326153847,2.8569472323846155,3.7362907773846152,-0.6626968069948487,16,aphantasia,aphantasia,1,0,aphantasia
1505,Male,50,0,Less than 10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['found', 'could', 'control', 'wave', 'flicker', 'rolled', 'wanted', 'see', 'face', 'could', 'tried', 'geometric', 'shape', 'well', 'tendril', 'shape', 'resembling', 'flower', 'something', 'one', 'would', 'see', 'microscope']",1-2 minutes,Constantly,"Clear, but not vivid","Constant, morphing from one image to the next","No change, fully alert in the here and now",,All over the screen,13.043478260869565,0.9971637428,0.3089888631499999,1.4841946164,0.9634887770499996,0.4703001375999999,3.4879074218,0.8704871553,1.8865836467,3.00622180455,1.1036372180999998,0.8083568294500001,3.5316982715000003,3.1815350878,3.6969345239,-1.6166392811728794,23,aphantasia,aphantasia,1,0,aphantasia
1506,Male,17,1,Less than 10min.,No,Computer,No feeling about it one way or the other,"Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['frequently', 'rotating', 'pattern', 'sort', 'pinwheeling', 'around', 'central', 'point', 'located', 'particular']",1-2 minutes,1 or 2 times in the whole experience,"Weak, faint, or insubstantial",Brief moment or flash,Lost a sense of space,"It was similar to how one's conscious might be reduced when fully engrossed in reading a book or watching a movie. Not necessarily fully alert of my surroundings, but not isolated from them. I noticed my cellphone's screen turn on a few times in my peripherals. ",In the center,20.0,1.405534363,0.29196036975,1.4781469605,0.820359338875,0.323011880125,3.29494347075,0.6508732,1.8305620055000005,2.2121268242500003,0.837017482375,0.666882893375,3.29494347075,2.529169430875,3.29494347075,-1.298658456446869,10,aphantasia,aphantasia,1,0,aphantasia
